Time(s) Column1 Column2 Y
0 0 0.01 0
0.01 0.0001 0.0198 0.0001
0.02 0.000298 0.029401 0.000298
0.03 0.00059201 0.038804 0.00059201
0.04 0.00098005 0.0480102 0.00098005
0.05 0.00146015 0.0570206 0.00146015
0.06 0.00203036 0.0658364 0.00203036
0.07 0.00268872 0.0744587 0.00268872
0.08 0.00343331 0.0828889 0.00343331
0.09 0.0042622 0.0911281 0.0042622
0.1 0.00517348 0.0991777 0.00517348
0.11 0.00616526 0.107039 0.00616526
0.12 0.00723565 0.114713 0.00723565
0.13 0.00838278 0.122202 0.00838278
0.14 0.0096048 0.129506 0.0096048
0.15 0.0108999 0.136628 0.0108999
0.16 0.0122661 0.143569 0.0122661
0.17 0.0137018 0.150329 0.0137018
0.18 0.0152051 0.156912 0.0152051
0.19 0.0167742 0.163317 0.0167742
0.2 0.0184074 0.169548 0.0184074
0.21 0.0201029 0.175604 0.0201029
0.22 0.0218589 0.181489 0.0218589
0.23 0.0236738 0.187204 0.0236738
0.24 0.0255459 0.192749 0.0255459
0.25 0.0274733 0.198128 0.0274733
0.26 0.0294546 0.203341 0.0294546
0.27 0.031488 0.208391 0.031488
0.28 0.0335719 0.213278 0.0335719
0.29 0.0357047 0.218006 0.0357047
0.3 0.0378848 0.222574 0.0378848
0.31 0.0401105 0.226986 0.0401105
0.32 0.0423804 0.231243 0.0423804
0.33 0.0446928 0.235347 0.0446928
0.34 0.0470463 0.239299 0.0470463
0.35 0.0494393 0.243102 0.0494393
0.36 0.0518703 0.246757 0.0518703
0.37 0.0543379 0.250265 0.0543379
0.38 0.0568405 0.25363 0.0568405
0.39 0.0593768 0.256852 0.0593768
0.4 0.0619454 0.259934 0.0619454
0.41 0.0645447 0.262877 0.0645447
0.42 0.0671735 0.265683 0.0671735
0.43 0.0698303 0.268354 0.0698303
0.44 0.0725138 0.270892 0.0725138
0.45 0.0752227 0.273299 0.0752227
0.46 0.0779557 0.275576 0.0779557
0.47 0.0807115 0.277726 0.0807115
0.48 0.0834888 0.27975 0.0834888
0.49 0.0862863 0.28165 0.0862863
0.5 0.0891028 0.283429 0.0891028
0.51 0.0919371 0.285087 0.0919371
0.52 0.0947879 0.286627 0.0947879
0.53 0.0976542 0.288051 0.0976542
0.54 0.100535 0.28936 0.100535
0.55 0.103428 0.290557 0.103428
0.56 0.106334 0.291643 0.106334
0.57 0.10925 0.29262 0.10925
0.58 0.112177 0.29349 0.112177
0.59 0.115111 0.294255 0.115111
0.6 0.118054 0.294917 0.118054
0.61 0.121003 0.295477 0.121003
0.62 0.123958 0.295937 0.123958
0.63 0.126917 0.2963 0.126917
0.64 0.12988 0.296566 0.12988
0.65 0.132846 0.296739 0.132846
0.66 0.135813 0.296818 0.135813
0.67 0.138782 0.296808 0.138782
0.68 0.14175 0.296708 0.14175
0.69 0.144717 0.296521 0.144717
0.7 0.147682 0.296249 0.147682
0.71 0.150644 0.295894 0.150644
0.72 0.153603 0.295457 0.153603
0.73 0.156558 0.29494 0.156558
0.74 0.159507 0.294344 0.159507
0.75 0.162451 0.293672 0.162451
0.76 0.165387 0.292925 0.165387
0.77 0.168317 0.292105 0.168317
0.78 0.171238 0.291213 0.171238
0.79 0.17415 0.290252 0.17415
0.8 0.177052 0.289222 0.177052
0.81 0.179945 0.288126 0.179945
